hour	value
461172	48
461173	39
461174	41
461175	46
461176	46
461177	44
461178	47
461179	57
461180	62
461181	75
461182	94
461183	99
461184	106
461185	104
461186	107
461187	104
461188	107
461189	114
461190	101
461191	101
461192	94
461193	86
461194	71
461195	62
461196	52
461197	47
461198	49
461199	47
461200	51
461201	52
461202	57
461203	63
461204	68
461205	81
461206	102
461207	107
461208	111
461209	115
461210	116
461211	123
461212	121
461213	115
461214	114
461215	97
461216	96
461217	82
461218	65
461219	63
461220	57
461221	47
461222	49
461223	47
461224	50
461225	52
461226	51
461227	61
461228	75
461229	83
461230	100
461231	103
461232	108
461233	122
461234	113
461235	115
461236	108
461237	111
461238	103
461239	106
461240	96
461241	91
461242	67
461243	61
461244	52
461245	51
461246	49
461247	49
461248	47
461249	52
461250	50
461251	58
461252	68
461253	79
461254	100
461255	104
461256	115
461257	116
461258	112
461259	120
461260	120
461261	112
461262	106
461263	99
461264	89
461265	82
461266	66
461267	60
461268	54
461269	47
461270	46
461271	47
461272	46
461273	49
461274	53
461275	58
461276	69
461277	83
461278	101
461279	109
461280	113
461281	113
461282	110
461283	105
461284	109
461285	104
461286	106
461287	92
461288	89
461289	84
461290	63
461291	61
461292	51
461293	45
461294	44
461295	44
461296	45
461297	45
461298	47
461299	56
461300	70
461301	83
461302	91
461303	99
461304	113
461305	105
461306	104
461307	114
461308	110
461309	102
461310	102
461311	102
461312	85
461313	81
461314	69
461315	56
461316	54
461317	43
461318	48
461319	44
461320	46
461321	45
461322	54
461323	58
461324	67
461325	75
461326	97
461327	109
461328	109
461329	118
461330	117
461331	107
461332	104
461333	111
461334	110
461335	92
461336	92
461337	85
461338	67
461339	57
461340	50
461341	46
461342	44
461343	48
461344	46
461345	46
461346	50
461347	59
461348	70
461349	83
461350	96
461351	107
461352	115
461353	114
461354	117
461355	113
461356	116
461357	109
461358	107
461359	113
461360	101
461361	94
461362	76
461363	66
461364	61
461365	53
461366	51
461367	50
461368	51
461369	53
461370	60
461371	60
461372	78
461373	83
461374	110
461375	116
461376	114
461377	128
461378	131
461379	124
461380	129
461381	111
461382	119
461383	107
461384	107
461385	98
461386	75
461387	65
461388	56
461389	53
461390	48
461391	50
461392	50
461393	52
461394	54
461395	67
461396	76
461397	94
461398	101
461399	112
461400	113
461401	120
461402	133
461403	132
461404	128
461405	115
461406	114
461407	105
461408	101
461409	93
461410	75
461411	67
461412	63
461413	51
461414	48
461415	53
461416	49
461417	54
461418	57
461419	65
461420	75
461421	90
461422	105
461423	114
461424	117
461425	124
461426	121
461427	124
461428	120
461429	119
461430	110
461431	109
461432	96
461433	84
461434	69
461435	65
461436	61
461437	50
461438	48
461439	48
461440	49
461441	47
461442	55
461443	62
461444	71
461445	85
461446	108
461447	114
461448	115
461449	113
461450	117
461451	112
461452	119
461453	106
461454	113
461455	100
461456	97
461457	85
461458	72
461459	60
461460	57
461461	44
461462	50
461463	47
461464	46
461465	49
461466	49
461467	59
461468	72
461469	76
461470	95
461471	104
461472	115
461473	120
461474	114
461475	121
461476	112
461477	107
461478	103
461479	102
461480	93
461481	87
461482	72
461483	64
461484	54
461485	46
461486	49
461487	47
461488	50
461489	51
461490	55
461491	56
461492	68
461493	86
461494	95
461495	103
461496	114
461497	121
461498	116
461499	121
461500	117
461501	106
461502	107
461503	104
461504	101
461505	87
461506	65
461507	62
461508	56
461509	46
461510	47
461511	49
461512	47
461513	50
461514	54
461515	62
461516	74
461517	86
461518	102
461519	118
461520	126
461521	130
461522	120
461523	130
461524	127
461525	117
461526	120
461527	115
461528	109
461529	99
461530	80
461531	69
461532	65
461533	57
461534	51
461535	51
461536	53
461537	56
461538	62
461539	69
461540	83
461541	92
461542	112
461543	115
461544	125
461545	133
461546	132
461547	127
461548	128
461549	129
461550	114
461551	121
461552	113
461553	94
461554	76
461555	68
461556	65
461557	57
461558	54
461559	57
461560	56
461561	51
461562	57
461563	70
461564	80
461565	90
461566	117
461567	123
461568	126
461569	132
461570	133
461571	128
461572	127
461573	123
461574	129
461575	115
461576	110
461577	100
461578	82
461579	74
461580	61
461581	56
461582	54
461583	56
461584	52
461585	53
461586	56
461587	68
461588	76
461589	98
461590	112
461591	113
461592	128
461593	134
461594	138
461595	137
461596	121
461597	119
461598	123
461599	115
461600	103
461601	93
461602	80
461603	70
461604	62
461605	53
461606	51
461607	52
461608	52
461609	54
461610	57
461611	62
461612	73
461613	94
461614	103
461615	115
461616	114
461617	125
461618	119
461619	120
461620	125
461621	116
461622	111
461623	110
461624	99
461625	91
461626	69
461627	69
461628	54
461629	52
461630	51
461631	51
461632	51
461633	49
461634	54
461635	62
461636	78
461637	85
461638	106
461639	110
461640	115
461641	119
461642	117
461643	127
461644	115
461645	111
461646	108
461647	102
461648	102
461649	96
461650	76
461651	65
461652	59
461653	49
461654	53
461655	48
461656	52
461657	49
461658	59
461659	62
461660	76
461661	86
461662	110
461663	114
461664	126
461665	122
461666	123
461667	128
461668	118
461669	120
461670	117
461671	106
461672	99
461673	87
461674	72
461675	64
461676	60
461677	52
461678	53
461679	54
461680	50
461681	52
461682	61
461683	66
461684	79
461685	94
461686	117
461687	112
461688	117
461689	125
461690	127
461691	131
461692	127
461693	127
461694	125
461695	120
461696	106
461697	99
461698	78
461699	70
461700	63
461701	59
461702	55
461703	60
461704	58
461705	60
461706	65
461707	68
461708	81
461709	96
461710	127
461711	120
461712	128
461713	134
461714	133
461715	146
461716	133
461717	123
461718	121
461719	125
461720	115
461721	98
461722	81
461723	77
461724	66
461725	53
461726	54
461727	59
461728	58
461729	58
461730	65
461731	71
461732	78
461733	96
461734	116
461735	126
461736	124
461737	133
461738	135
461739	133
461740	134
461741	126
461742	122
461743	123
461744	105
461745	96
461746	79
461747	70
461748	63
461749	56
461750	57
461751	58
461752	56
461753	54
461754	63
461755	69
461756	81
461757	91
461758	113
461759	117
461760	126
461761	126
461762	130
461763	124
461764	138
461765	120
461766	116
461767	116
461768	110
461769	103
461770	83
461771	67
461772	64
461773	57
461774	53
461775	57
461776	52
461777	58
461778	57
461779	67
461780	82
461781	94
461782	118
461783	123
461784	126
461785	135
461786	134
461787	134
461788	128
461789	120
461790	121
461791	109
461792	109
461793	93
461794	77
461795	65
461796	60
461797	50
461798	51
461799	48
461800	49
461801	49
461802	57
461803	60
461804	74
461805	93
461806	101
461807	117
461808	120
461809	129
461810	131
461811	125
461812	128
461813	117
461814	115
461815	115
461816	101
461817	98
461818	78
461819	68
461820	63
461821	54
461822	48
461823	55
461824	52
461825	53
461826	55
461827	68
461828	78
461829	85
461830	107
461831	111
461832	123
461833	121
461834	125
461835	129
461836	127
461837	114
461838	110
461839	109
461840	109
461841	88
461842	79
461843	71
461844	60
461845	47
461846	47
461847	49
461848	49
461849	55
461850	56
461851	67
461852	80
461853	86
461854	110
461855	118
461856	127
461857	122
461858	130
461859	134
461860	125
461861	123
461862	121
461863	113
461864	114
461865	101
461866	75
461867	71
461868	59
461869	57
461870	54
461871	56
461872	57
461873	53
461874	57
461875	68
461876	82
461877	94
461878	108
461879	121
461880	122
461881	123
461882	134
461883	122
461884	121
461885	126
461886	112
461887	110
461888	101
461889	98
461890	71
461891	67
461892	63
461893	52
461894	54
461895	52
461896	50
461897	51
461898	59
461899	64
461900	77
461901	91
461902	110
461903	106
461904	113
461905	115
461906	128
461907	122
461908	112
461909	120
461910	118
461911	108
461912	92
461913	92
461914	67
461915	62
461916	53
461917	50
461918	49
461919	51
461920	51
461921	50
461922	54
461923	62
461924	70
461925	86
461926	102
461927	102
461928	112
461929	109
461930	107
461931	118
461932	111
461933	112
461934	106
461935	98
461936	96
461937	84
461938	69
461939	61
461940	54
461941	43
461942	47
461943	43
461944	45
461945	45
461946	50
461947	60
461948	72
461949	76
461950	92
461951	99
461952	105
461953	107
461954	109
461955	109
461956	111
461957	102
461958	107
461959	95
461960	97
461961	87
461962	65
461963	57
461964	57
461965	46
461966	47
461967	50
461968	48
461969	45
461970	53
461971	61
461972	66
461973	86
461974	101
461975	112
461976	118
461977	117
461978	121
461979	116
461980	113
461981	109
461982	113
461983	114
461984	101
461985	89
461986	76
461987	70
461988	62
461989	51
461990	49
461991	53
461992	54
461993	50
461994	58
461995	61
461996	77
461997	93
461998	113
461999	119
462000	125
462001	127
462002	121
462003	126
462004	117
462005	124
462006	117
462007	113
462008	101
462009	87
462010	76
462011	69
462012	55
462013	47
462014	53
462015	53
462016	53
462017	55
462018	57
462019	66
462020	73
462021	94
462022	108
462023	113
462024	128
462025	125
462026	136
462027	135
462028	137
462029	119
462030	128
462031	115
462032	111
462033	106
462034	80
462035	74
462036	64
462037	56
462038	59
462039	60
462040	56
462041	54
462042	62
462043	70
462044	86
462045	94
462046	123
462047	125
462048	135
462049	133
462050	136
462051	135
462052	131
462053	122
462054	134
462055	122
462056	113
462057	106
462058	80
462059	74
462060	67
462061	57
462062	54
462063	60
462064	60
462065	59
462066	59
462067	71
462068	83
462069	103
462070	116
462071	129
462072	126
462073	134
462074	141
462075	144
462076	127
462077	129
462078	132
462079	114
462080	113
462081	95
462082	83
462083	74
462084	69
462085	57
462086	59
462087	55
462088	58
462089	60
462090	63
462091	72
462092	77
462093	92
462094	123
462095	129
462096	136
462097	129
462098	141
462099	127
462100	136
462101	128
462102	130
462103	113
462104	114
462105	98
462106	81
462107	75
462108	64
462109	52
462110	57
462111	53
462112	54
462113	55
462114	61
462115	67
462116	78
462117	97
462118	108
462119	117
462120	118
462121	131
462122	134
462123	125
462124	117
462125	115
462126	113
462127	117
462128	103
462129	95
462130	74
462131	63
462132	56
462133	53
462134	51
462135	53
462136	55
462137	49
462138	60
462139	66
462140	70
462141	86
462142	104
462143	112
462144	128
462145	130
462146	124
462147	132
462148	121
462149	123
462150	123
462151	112
462152	100
462153	95
462154	78
462155	67
462156	63
462157	53
462158	53
462159	53
462160	53
462161	54
462162	60
462163	62
462164	77
462165	84
462166	110
462167	110
462168	128
462169	122
462170	123
462171	123
462172	125
462173	126
462174	119
462175	116
462176	101
462177	94
462178	76
462179	68
462180	60
462181	50
462182	54
462183	51
462184	52
462185	56
462186	58
462187	69
462188	76
462189	98
462190	106
462191	126
462192	119
462193	134
462194	141
462195	126
